"","X","country","continent","year","population"
"353",367,"Taiwan","Asia",2018,22194731
"354",1141,"Sri Lanka","Asia",2022,22186970
"355",951,"Syria","Asia",2021,22125249
"356",144,"Romania","Europe",2017,22125224
"357",612,"Burkina Faso","Africa",2020,22100683
"358",399,"Australia","Oceania",2019,22019168
"359",339,"Romania","Europe",2018,21919876
"360",690,"Mali","Africa",2020,21904983
"361",946,"Sri Lanka","Asia",2021,21832143
"362",1336,"Sri Lanka","Asia",2023,21814985
"363",751,"Sri Lanka","Asia",2020,21773441
"364",491,"Madagascar","Africa",2019,21731053
"365",348,"Saudi Arabia","Asia",2018,21547390
"366",756,"Syria","Asia",2020,21324367
"367",1062,"Kazakhstan","Asia",2022,21128221
"368",1129,"Senegal","Africa",2022,21125872
"369",1205,"Chile","Americas",2023,20675378
"370",556,"Sri Lanka","Asia",2019,20668557
"371",882,"Malawi","Africa",2021,20405317
"372",534,"Romania","Europe",2019,20335211
"373",1199,"Cambodia","Asia",2023,20258435
"374",974,"Zambia","Africa",2021,20017675
"375",1044,"Guatemala","Americas",2022,20003638
"376",1010,"Chile","Americas",2022,19933769
"377",687,"Malawi","Africa",2020,19889742
"378",420,"Cameroon","Africa",2019,19878036
"379",118,"Morocco","Africa",2017,19678444
"380",259,"Ghana","Africa",2018,19665502
"381",924,"Romania","Europe",2021,19659267
"382",815,"Chile","Americas",2021,19603733
"383",196,"Afghanistan","Asia",2018,19542982
"384",620,"Chile","Americas",2020,19493184
"385",1024,"Ecuador","Americas",2022,19486952
"386",779,"Zambia","Africa",2020,19473125
"387",867,"Kazakhstan","Asia",2021,19397998
"388",729,"Romania","Europe",2020,19328560
"389",174,"Tanzania","Africa",2017,19297659
"390",672,"Kazakhstan","Asia",2020,19196465
"391",1170,"Zimbabwe","Africa",2022,19179393
"392",1119,"Romania","Europe",2022,19023383
"393",204,"Australia","Oceania",2018,19017963
"394",361,"Sri Lanka","Asia",2018,18776371
"395",3,"Algeria","Africa",2017,18739378
"396",388,"Yemen","Asia",2018,18628700
"397",172,"Taiwan","Asia",2017,18100281
"398",1004,"Cambodia","Asia",2022,18084248
"399",829,"Ecuador","Americas",2021,18001000
"400",1099,"Netherlands","Europe",2022,17943803
"401",1294,"Netherlands","Europe",2023,17897025
"402",849,"Guatemala","Americas",2021,17843908
"403",634,"Ecuador","Americas",2020,17797737
"404",314,"Mozambique","Africa",2018,17768505
"405",814,"Chad","Africa",2021,17723315
"406",654,"Guatemala","Americas",2020,17608483
"407",942,"Somalia","Africa",2021,17597511
"408",904,"Netherlands","Europe",2021,17564014
"409",709,"Netherlands","Europe",2020,17501696
"410",137,"Peru","Americas",2017,17492406
"411",1334,"South Sudan","Africa",2023,17460846
"412",1314,"Romania","Europe",2023,17457213
"413",934,"Senegal","Africa",2021,17316449
"414",619,"Chad","Africa",2020,17179740
"415",747,"Somalia","Africa",2020,17065581
"416",425,"Chile","Americas",2019,17004162
"417",739,"Senegal","Africa",2020,16876720
"418",809,"Cambodia","Asia",2021,16767842
"419",167,"Sudan","Africa",2017,16673586
"420",517,"Niger","Africa",2019,16647543
"421",477,"Kazakhstan","Asia",2019,16627837
"422",1045,"Guinea","Africa",2022,16622388
"423",514,"Netherlands","Europe",2019,16617117
"424",1191,"Bolivia","Americas",2023,16609854
"425",614,"Cambodia","Asia",2020,16589023
"426",200,"Angola","Africa",2018,16394062
"427",994,"Benin","Africa",2022,16393827
"428",1121,"Rwanda","Africa",2022,16375704
"429",975,"Zimbabwe","Africa",2021,16320537
"430",366,"Syria","Asia",2018,16307654
"431",296,"Madagascar","Africa",2018,16216431
"432",88,"Kenya","Africa",2017,16187124
"433",417,"Burkina Faso","Africa",2019,16116845
"434",780,"Zimbabwe","Africa",2020,15993524
"435",190,"Uzbekistan","Asia",2017,15947129
"436",319,"Netherlands","Europe",2018,15899135
"437",1003,"Burundi","Africa",2022,15800530
"438",123,"Nepal","Asia",2017,15600442
"439",495,"Mali","Africa",2019,15529181
"440",1347,"Togo","Africa",2023,15478883
"441",230,"Chile","Americas",2018,15351799
"442",282,"Kazakhstan","Asia",2018,15236253
"443",191,"Venezuela","Americas",2017,15210443
"444",1343,"Tajikistan","Asia",2023,15200989
"445",225,"Cameroon","Africa",2018,15091594
"446",1243,"Haiti","Americas",2023,15087520
"447",1256,"Jordan","Asia",2023,15005941
"448",439,"Ecuador","Americas",2019,14989585
"449",166,"Sri Lanka","Asia",2017,14943645
"450",1305,"Papua New Guinea","Oceania",2023,14910369
"451",492,"Malawi","Africa",2019,14718422
"452",9,"Australia","Oceania",2017,14706322
"453",459,"Guatemala","Americas",2019,14543121
"454",419,"Cambodia","Asia",2019,14363532
"455",1350,"Tunisia","Africa",2023,14315779
"456",1244,"Honduras","Americas",2023,14258514
"457",87,"Kazakhstan","Asia",2017,14172710
"458",124,"Netherlands","Europe",2017,14130387
"459",850,"Guinea","Africa",2021,13859341
"460",584,"Zambia","Africa",2019,13792086
"461",926,"Rwanda","Africa",2021,13776698
"462",80,"Iraq","Asia",2017,13653369
"463",996,"Bolivia","Americas",2022,13625507
"464",1327,"Sierra Leone","Africa",2023,13595023
"465",655,"Guinea","Africa",2020,13531906
"466",731,"Rwanda","Africa",2020,13461888
"467",799,"Benin","Africa",2021,13352864
"468",184,"Uganda","Africa",2017,13284026
"469",103,"Malaysia","Asia",2017,13215707
"470",1217,"Dominican Republic","Americas",2023,13180541
"471",1155,"Tunisia","Africa",2022,13100768
"472",604,"Benin","Africa",2020,12996895
"473",1252,"Israel","Asia",2023,12991790
"474",808,"Burundi","Africa",2021,12889576
"475",585,"Zimbabwe","Africa",2019,12839771
"476",1048,"Haiti","Americas",2022,12700006
"477",244,"Ecuador","Americas",2018,12626507
"478",1139,"South Sudan","Africa",2022,12570402
"479",613,"Burundi","Africa",2020,12551213
"480",544,"Senegal","Africa",2019,12530121
"481",1,"Afghanistan","Asia",2017,12486631
"482",960,"Tunisia","Africa",2021,12356117
"483",765,"Tunisia","Africa",2020,12262946
